Year,Bmean,B5q,B95,Bstatic,sd
1980,4441.96293355065,4015.25245851148,4823.11982641284,4235.74851874551,240.838149839719
1981,4488.56602052066,4101.76803710472,4854.24268071266,4284.7883611921,238.305299346014
1982,4567.05416002003,4199.9529775156,4944.60476041781,4331.27942433387,224.302105010132
1983,4601.34563715986,4127.68331168938,5067.70895177289,4381.97271536619,272.628419121163
1984,4631.50402618169,4195.48953161157,5027.1479698076,4432.10514205678,259.464733928588
1985,4705.04985438616,4254.39471696412,5114.40097322448,4485.68349665034,252.164816214995
1986,4708.00201100265,4244.88640364842,5143.89591184383,4541.4408919507,260.126190284341
1987,4806.79169591585,4412.45462322094,5292.41293450287,4593.83428224187,271.533394695872
1988,4771.82670229157,4258.33045623875,5165.82595082496,4637.05345126317,279.899212155612
1989,4851.57425834212,4466.17115579912,5284.07778298694,4693.49189216896,269.149810207051
1990,4909.16290304599,4474.18075477863,5359.44449860671,4752.20104974992,285.032281489425
1991,4939.52583059416,4501.5241762544,5399.22696568513,4812.67233270238,267.574660631864
1992,5003.06763622455,4564.74318893509,5445.57631577293,4864.01485696332,288.444207469152
1993,5066.11116478487,4584.23520091489,5547.92963346254,4916.70332600698,304.431406590481
1994,5080.69405649006,4612.86406613777,5549.58990360952,4979.85791317228,272.418312607805
1995,5205.14623545488,4773.22568907276,5656.6002325219,5030.51427669971,266.528118779057
1996,5286.25296800025,4706.54669098064,5759.43488255268,5093.34039765359,326.14141794245
1997,5296.33656638288,4726.58910264853,5747.00557789378,5160.93719453123,302.029171863072
1998,5313.52805574722,4906.00674517788,5759.99168462942,5220.49581812854,285.046320408684
1999,5363.05900881736,4825.81616047031,5893.52826665409,5288.92858619692,367.996793105405
2000,5414.24611056729,4767.35475303227,5889.01024335737,5361.14438181012,351.914392888752
2001,5453.27189664516,4840.9844463429,5975.87015140444,5422.19834960219,350.278498283154
2002,5525.07943839266,4950.78729064712,6135.19053263869,5485.85112361975,385.516593738598
2003,5666.69883422571,4956.14110981651,6124.8553057862,5555.64906210189,358.869834684804
2004,5715.14040142695,5159.36642182853,6218.74306411873,5626.69296728525,355.982499509251
2005,5764.47935948861,5175.0025453948,6364.65448267042,5695.64414274789,341.173265197353
2006,5794.10452743059,5104.41451572465,6335.0981431847,5777.63848565495,386.124175584546
2007,5940.97132923807,5339.16934434325,6582.09038723835,5846.92667404151,399.198694201718
2008,5898.84802717535,5191.43005195588,6417.35762176585,5918.50819003444,383.732478612646
2009,5955.36371151868,5331.58068067885,6538.17129881032,5981.87958353814,394.888426902659
2010,6006.4476297552,5347.42625472676,6605.76343373707,6047.43272697707,397.263684740209
2011,6070.25628591319,5416.42106704467,6601.45943335375,6114.37426968919,381.227564988832
2012,6199.32358133627,5503.89619987797,6877.58347569763,6189.56877712501,433.554944440962
2013,6286.94077978145,5565.1279923185,6930.26113569739,6260.06360349689,446.914914909437
2014,6284.17771995631,5583.05035990287,6980.3568099137,6330.42839031726,436.613081243266
2015,6444.63808074882,5639.20249692504,7028.02615464215,6420.20777452796,446.581985383624
