Year,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,B01,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B16,B17,B18,B19,B20,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,A01,B02,B15,B21
1893,0.214344400655739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1894,0.288861676958243,NA,NA,NA,NA,NA,NA,NA,0.408566063748618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,0.347353555914414,NA,NA,NA,NA,NA,NA,NA,0.482109445890018,NA,NA,2.61061805676412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,0.433744043090956,NA,NA,NA,NA,NA,NA,NA,0.579038286029076,NA,NA,2.9558817117218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296637371250997,NA
1897,0.524920040270328,NA,NA,NA,NA,NA,NA,NA,0.667994748894674,NA,NA,3.22614484471874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379027468743288,NA
1898,0.651381006965251,NA,NA,NA,NA,NA,NA,NA,0.758539366502667,NA,NA,3.54330326399937,NA,NA,NA,NA,NA,NA,0.00475808898153178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63328892427735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.362753121652822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.501833560686312,NA
1899,0.850692328712291,NA,NA,NA,NA,NA,NA,NA,0.897158987899596,NA,NA,4.03956792433159,0.685284992188315,NA,NA,NA,NA,NA,0.020459516119653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.397856390227491,NA,1.93016640987477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422596947171297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.655879291747317,NA
1900,1.1225782854092,0.198918157495373,NA,NA,NA,NA,NA,NA,1.04148512367901,NA,NA,4.6407266585144,0.800719299876779,NA,NA,NA,NA,NA,0.0437866735795845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536176094701204,0.755238248376002,2.23251510973268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495193991916128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.925549302821829,NA
1901,1.42921654952259,0.297479528063822,NA,NA,0.0153522734096579,NA,NA,NA,1.2144439948468,NA,NA,5.25084108544464,0.932779986111238,NA,NA,NA,NA,NA,0.0751702659431485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.709627204798204,1.08246942408838,2.59831822131168,0.425950547699365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.573354376597501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23239883757805,NA
1902,1.70487743474993,0.382890578005766,NA,NA,0.0334040947378372,NA,NA,NA,1.35304376134043,NA,NA,5.69486796072306,1.11116033486418,NA,NA,NA,NA,NA,0.0977514845287896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34135439698414,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841413360753051,1.29220348606584,2.98035566858721,0.493046679614505,NA,NA,NA,NA,NA,NA,NA,NA,0.742579740424361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63018987425633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66941711924027,NA
