Year,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60
1893,NA,1.31973586379904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1894,NA,1.5535198662744,NA,NA,NA,NA,NA,NA,NA,1.87012790487792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,NA,1.71549586798944,NA,NA,NA,NA,NA,NA,NA,2.04026390667936,NA,NA,4.7297999054136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,NA,1.93010387026176,NA,NA,NA,NA,NA,NA,NA,2.24426390883936,NA,NA,5.01662390845056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,NA,2.1328798724088,NA,NA,NA,NA,NA,NA,NA,2.41562391065376,NA,NA,5.22796791068832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,NA,2.38461587507424,NA,NA,NA,NA,NA,NA,NA,2.5775999123688,NA,NA,5.46338391318096,NA,NA,NA,NA,NA,NA,0.125519894116801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77467189199568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,NA,2.73182387875056,NA,NA,NA,NA,NA,NA,NA,2.806079914788,NA,NA,5.80855191683568,2.44744789666992,NA,NA,NA,NA,NA,0.32584789623792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84401590790624,NA,4.09291189536528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,NA,3.13900788306192,1.26628790399232,NA,NA,NA,NA,NA,NA,3.02395191709488,NA,NA,6.19533592093104,2.64940789880832,NA,NA,NA,NA,NA,0.52372789833312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15654391121536,2.57188792222272,4.38952789850592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1901,NA,3.5363998872696,1.57840790729712,NA,NA,0.271162346128706,NA,NA,NA,3.26385591963504,NA,NA,6.55927192478448,2.86156790105472,NA,NA,NA,NA,NA,0.724871900462879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49151191476208,3.08270392763136,4.71919190199648,1.91174390642016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,NA,3.85423189063488,1.80688790971632,NA,NA,0.443338347951746,NA,NA,NA,3.4425599215272,NA,NA,6.80896792742832,3.12309590382384,NA,NA,NA,NA,NA,0.845639901741599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69958393832336,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.71672791714672,3.36544793062512,5.03620790535312,2.06433590803584,NA,NA,NA,NA,NA,NA,NA,NA,2.54985590436384,NA,NA,NA,NA,NA
