Year,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33
1897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,NA,NA,NA,NA,NA,NA,0.726,NA,NA,NA,NA,NA,NA,NA,1.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,2.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1901,NA,NA,NA,NA,NA,NA,0.803,NA,NA,NA,NA,NA,NA,NA,2.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,NA,NA,NA,NA,NA,NA,0.547,NA,NA,NA,NA,NA,NA,NA,2.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1903,NA,NA,NA,NA,NA,NA,0.529,NA,NA,NA,NA,NA,NA,NA,1.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,NA,NA,NA,NA,NA,NA,0.469,NA,NA,NA,NA,NA,NA,NA,0.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1905,NA,NA,NA,NA,NA,NA,0.268,NA,NA,NA,NA,NA,NA,NA,1.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1906,NA,NA,NA,NA,0.686,NA,0.369,NA,NA,NA,NA,NA,NA,NA,1.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA
1907,NA,NA,NA,NA,0.596,NA,0.508,NA,NA,NA,NA,NA,NA,NA,0.833,NA,NA,NA,0.923,NA,NA,NA,NA,NA,NA,NA,NA,0.425,NA,NA,NA,NA,NA
1908,NA,0.566,NA,NA,0.508,NA,0.399,NA,NA,NA,NA,NA,NA,NA,0.397,NA,NA,NA,0.443,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA
1909,NA,0.967,NA,NA,0.32,NA,0.431,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,0.488,NA,NA,NA,NA,0.436,NA,NA,NA,0.279,NA,NA,NA,NA,NA
1910,NA,0.939,NA,NA,0.438,NA,0.296,NA,NA,NA,NA,NA,NA,NA,0.334,NA,NA,NA,0.471,NA,NA,NA,NA,0.37,NA,NA,NA,0.309,NA,NA,NA,NA,NA
1911,NA,0.927,NA,NA,0.366,NA,0.4,NA,NA,NA,NA,NA,NA,NA,0.306,NA,NA,NA,0.495,NA,NA,NA,NA,0.366,NA,NA,NA,0.304,NA,NA,NA,NA,NA
1912,NA,0.325,NA,NA,0.376,NA,0.255,NA,0.257,NA,NA,NA,NA,NA,0.573,NA,NA,NA,0.404,NA,NA,NA,NA,0.348,NA,NA,NA,0.186,NA,NA,NA,NA,NA
1913,NA,0.349,NA,NA,0.35,NA,0.326,NA,0.347,NA,NA,NA,NA,NA,0.728,NA,NA,NA,0.396,NA,NA,NA,NA,0.378,NA,NA,NA,0.413,NA,1.216,NA,NA,NA
1914,NA,0.261,NA,NA,0.418,NA,0.294,0.53,0.34,NA,NA,NA,NA,NA,0.671,NA,NA,NA,0.453,NA,NA,NA,NA,0.33,NA,NA,NA,0.379,NA,1.25,NA,NA,NA
1915,NA,0.217,NA,NA,0.312,NA,0.168,0.396,0.31,NA,NA,NA,NA,NA,0.655,NA,NA,NA,0.367,NA,NA,NA,NA,0.274,NA,NA,NA,0.212,NA,1.528,NA,NA,NA
1916,0.467,0.645,NA,NA,0.16,NA,0.315,0.464,0.421,NA,NA,NA,NA,NA,0.502,NA,NA,NA,0.517,NA,0.53,NA,NA,0.536,NA,NA,NA,0.461,NA,1.134,NA,NA,0.57
